Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
32.0,1,1,112,5.0,90000.0,3,9,0
28.0,0,2,24,3.0,65000.0,4,5,0
45.0,1,3,72,15.0,150000.0,1,9,1
36.0,0,1,100,7.0,60000.0,4,5,0
52.0,1,2,34,20.0,200000.0,4,1,0
29.0,1,1,73,2.0,55000.0,4,5,0
42.0,0,2,88,12.0,120000.0,4,1,0
31.0,1,1,103,4.0,80000.0,2,6,0
26.0,0,1,74,1.0,45000.0,2,4,0
38.0,1,3,106,10.0,110000.0,0,2,1
29.0,1,2,111,3.0,75000.0,3,8,0
48.0,0,1,58,18.0,140000.0,3,1,0
35.0,1,1,50,6.0,65000.0,2,6,0
40.0,0,2,92,14.0,130000.0,4,0,0
27.0,1,1,19,2.0,40000.0,1,1,0
44.0,1,1,83,16.0,125000.0,2,4,0
33.0,0,2,76,7.0,90000.0,4,1,0
39.0,1,3,47,12.0,115000.0,3,7,1
25.0,0,1,26,0.0,35000.0,3,1,0
51.0,1,1,101,22.0,180000.0,0,1,0
34.0,0,2,6,5.0,80000.0,2,6,0
47.0,1,2,126,19.0,190000.0,3,9,0
30.0,1,1,68,2.0,50000.0,3,1,0
36.0,0,1,96,9.0,60000.0,2,9,0
41.0,1,2,51,13.0,140000.0,4,0,0
28.0,0,1,109,3.0,45000.0,1,9,0
37.0,0,2,114,11.0,110000.0,0,1,0
24.0,1,1,30,1.0,40000.0,0,1,0
43.0,0,3,14,15.0,140000.0,1,3,1
33.0,1,2,86,6.0,90000.0,2,6,0
50.0,1,1,11,25.0,250000.0,1,1,0
31.0,0,1,2,4.0,55000.0,3,9,0
29.0,1,2,27,3.0,75000.0,4,5,0
39.0,0,1,77,10.0,65000.0,1,9,0
46.0,1,3,72,20.0,170000.0,4,5,1
27.0,1,1,121,2.0,45000.0,0,1,0
35.0,0,1,57,7.0,60000.0,3,9,0
42.0,1,2,91,14.0,115000.0,2,9,0
26.0,0,1,22,1.0,40000.0,1,1,0
49.0,1,1,102,21.0,160000.0,2,9,0
34.0,0,2,123,5.0,80000.0,3,1,0
48.0,1,2,82,18.0,190000.0,1,3,0
30.0,1,1,78,3.0,60000.0,2,6,0
36.0,0,1,3,8.0,45000.0,3,1,0
41.0,1,2,116,13.0,130000.0,3,1,0
28.0,0,1,16,2.0,40000.0,4,9,0
32.0,1,1,1,5.0,75000.0,0,1,0
45.0,0,2,42,16.0,180000.0,3,8,0
38.0,1,3,106,11.0,120000.0,0,1,1
25.0,1,1,60,0.0,35000.0,4,1,0
51.0,0,1,18,22.0,130000.0,2,6,0
33.0,1,2,9,7.0,85000.0,0,2,0
40.0,0,1,48,12.0,60000.0,2,9,0
47.0,1,2,125,19.0,200000.0,0,1,0
29.0,0,1,55,3.0,50000.0,1,3,0
36.0,1,1,103,9.0,95000.0,2,6,0
27.0,0,2,124,2.0,65000.0,1,9,0
43.0,1,3,47,17.0,140000.0,4,5,1
30.0,0,1,108,4.0,55000.0,1,9,0
35.0,1,2,88,7.0,105000.0,1,1,0
51.0,0,2,43,23.0,170000.0,4,0,0
29.0,1,1,73,3.0,50000.0,2,4,0
40.0,0,1,58,12.0,80000.0,2,6,0
47.0,1,3,27,21.0,180000.0,2,9,1
26.0,1,1,2,1.0,35000.0,0,2,0
38.0,0,2,32,10.0,90000.0,2,6,0
46.0,1,1,66,19.0,120000.0,0,2,0
31.0,0,1,20,5.0,45000.0,1,1,0
34.0,1,2,8,8.0,90000.0,1,1,0
49.0,0,2,50,18.0,150000.0,1,9,1
33.0,1,1,128,6.0,65000.0,4,5,0
39.0,0,1,96,11.0,70000.0,4,1,0
45.0,1,3,97,16.0,190000.0,3,7,0
28.0,1,1,120,2.0,40000.0,2,6,0
42.0,0,2,17,14.0,120000.0,1,3,0
37.0,1,1,92,10.0,95000.0,4,1,0
50.0,0,1,83,22.0,160000.0,4,9,0
32.0,1,2,112,6.0,100000.0,4,0,1
48.0,0,2,62,20.0,180000.0,1,3,0
30.0,0,1,15,3.0,55000.0,0,9,0
36.0,1,1,119,8.0,70000.0,3,1,0
41.0,0,2,24,13.0,80000.0,4,9,0
25.0,1,1,105,0.0,30000.0,0,1,0
52.0,1,3,13,24.0,250000.0,1,3,0
29.0,0,1,29,2.0,40000.0,0,1,0
34.0,0,2,49,10.0,95000.0,3,9,0
27.0,1,1,1,2.0,45000.0,1,9,0
40.0,0,1,57,15.0,80000.0,4,5,0
46.0,1,2,92,21.0,135000.0,1,1,1
31.0,0,1,74,6.0,55000.0,0,1,0
36.0,1,3,85,11.0,120000.0,3,7,0
29.0,0,1,100,3.0,40000.0,2,9,0
43.0,1,1,118,18.0,105000.0,3,8,0
52.0,0,2,76,25.0,170000.0,2,4,1
33.0,1,1,6,7.0,75000.0,0,2,0
39.0,0,1,122,12.0,65000.0,4,0,0
47.0,1,3,98,22.0,160000.0,0,1,0
26.0,1,1,111,1.0,35000.0,2,9,0
38.0,0,2,93,10.0,90000.0,3,1,0
45.0,1,1,80,20.0,110000.0,2,4,0
31.0,0,1,48,5.0,45000.0,0,1,0
35.0,1,2,89,8.0,95000.0,2,9,0
49.0,0,2,58,19.0,150000.0,0,9,1
33.0,1,1,128,5.0,50000.0,1,1,0
39.0,0,2,90,13.0,80000.0,3,8,1
44.0,1,3,12,16.0,220000.0,4,0,0
30.0,0,1,31,3.0,50000.0,3,9,0
36.0,1,1,69,7.0,60000.0,4,1,0
41.0,0,2,73,14.0,100000.0,4,9,1
28.0,1,1,21,2.0,40000.0,4,5,0
42.0,0,2,55,15.0,110000.0,4,1,1
37.0,1,1,115,9.0,95000.0,3,9,0
50.0,0,1,117,22.0,130000.0,3,8,0
32.0,1,2,6,6.0,90000.0,4,1,1
23.0,0,1,73,0.5,35000.0,4,9,0
31.0,1,2,50,6.0,95000.0,0,1,1
40.0,0,1,79,15.0,65000.0,4,9,0
48.0,1,3,84,20.0,170000.0,4,5,0
29.0,0,1,57,3.0,45000.0,0,2,0
35.0,1,2,88,10.0,120000.0,1,9,1
42.0,0,1,103,17.0,100000.0,2,6,0
53.0,1,2,42,25.0,180000.0,3,7,0
33.0,0,1,80,5.0,50000.0,0,2,0
38.0,1,1,18,11.0,80000.0,2,9,0
44.0,0,3,106,16.0,140000.0,3,7,1
26.0,1,1,2,2.0,40000.0,3,9,0
37.0,0,2,57,9.0,95000.0,4,0,1
45.0,1,1,104,18.0,110000.0,3,9,0
32.0,0,1,74,4.0,50000.0,4,9,0
34.0,1,2,111,8.0,105000.0,1,9,1
50.0,0,2,43,21.0,160000.0,3,9,0
29.0,1,1,127,3.0,45000.0,2,9,0
40.0,0,2,122,12.0,100000.0,1,3,1
47.0,1,3,98,22.0,160000.0,4,5,1
27.0,1,1,105,1.0,35000.0,3,7,0
39.0,0,1,3,10.0,55000.0,1,3,0
46.0,1,2,92,19.0,140000.0,1,3,1
30.0,0,1,76,4.0,50000.0,1,9,0
36.0,1,1,24,7.0,60000.0,0,1,0
43.0,0,2,89,14.0,120000.0,0,9,1
28.0,1,1,6,2.0,40000.0,4,9,0
41.0,0,2,76,13.0,110000.0,0,2,1
33.0,1,1,111,5.0,50000.0,4,5,0
47.0,1,1,103,20.0,135000.0,2,9,1
25.0,0,2,77,1.5,40000.0,0,1,0
34.0,1,1,6,8.0,90000.0,0,1,1
42.0,0,3,27,16.0,150000.0,2,4,1
31.0,1,1,92,4.0,60000.0,3,8,0
38.0,0,1,2,10.0,80000.0,4,0,1
45.0,1,2,45,19.0,175000.0,1,3,0
29.0,0,1,96,3.0,45000.0,0,2,0
36.0,1,2,8,11.0,120000.0,1,3,1
43.0,0,3,86,18.0,140000.0,0,1,1
26.0,1,1,23,2.0,35000.0,4,1,0
37.0,0,2,73,9.0,95000.0,1,9,1
44.0,1,1,69,14.0,110000.0,4,0,1
32.0,0,1,50,5.0,50000.0,4,1,0
33.0,1,2,83,7.0,115000.0,2,6,1
51.0,0,3,41,23.0,185000.0,2,4,0
28.0,1,1,112,2.0,40000.0,0,9,0
39.0,0,1,105,12.0,90000.0,4,1,1
48.0,1,2,44,21.0,175000.0,4,1,0
30.0,0,1,16,3.0,45000.0,3,7,0
35.0,1,1,74,7.0,80000.0,2,9,1
41.0,0,2,63,13.0,120000.0,2,6,1
27.0,1,1,7,1.5,35000.0,2,9,0
40.0,0,1,1,14.0,110000.0,0,2,1
46.0,1,3,99,18.0,150000.0,1,3,1
31.0,0,1,56,4.0,50000.0,2,6,0
34.0,1,2,112,9.0,105000.0,2,6,1
50.0,0,2,38,20.0,180000.0,0,2,0
29.0,1,1,74,2.0,40000.0,1,1,0
43.0,1,1,92,16.0,140000.0,3,9,1
26.0,0,2,27,1.5,45000.0,1,1,0
35.0,1,1,80,7.0,85000.0,2,9,1
42.0,0,3,76,18.0,140000.0,3,1,1
31.0,1,1,2,4.0,50000.0,3,8,0
38.0,0,1,61,10.0,80000.0,3,1,1
46.0,1,2,43,20.0,170000.0,4,1,0
29.0,0,1,105,2.0,40000.0,3,8,0
37.0,1,2,6,9.0,105000.0,2,4,1
44.0,0,3,123,15.0,145000.0,4,5,1
27.0,1,1,88,2.0,40000.0,4,5,0
36.0,0,1,77,8.0,85000.0,4,0,1
43.0,1,1,67,14.0,130000.0,2,4,1
33.0,0,2,50,6.0,95000.0,1,9,1
34.0,1,1,94,9.0,100000.0,3,7,1
50.0,0,3,46,22.0,180000.0,2,6,0
28.0,1,1,80,1.5,35000.0,3,8,0
39.0,0,1,0,12.0,95000.0,4,0,1
47.0,1,2,35,19.0,170000.0,0,1,0
30.0,0,1,108,3.0,45000.0,0,2,0
34.0,1,1,88,7.0,95000.0,2,4,1
40.0,0,2,64,13.0,120000.0,3,8,1
28.0,1,1,6,2.0,40000.0,4,0,0
41.0,0,1,74,11.0,90000.0,1,1,1
45.0,1,3,24,17.0,155000.0,3,1,1
32.0,0,1,1,5.0,55000.0,0,1,0
35.0,1,2,111,9.0,110000.0,1,1,1
49.0,0,2,40,21.0,180000.0,3,7,0
30.0,1,1,4,3.0,45000.0,3,9,0
44.0,1,1,103,16.0,130000.0,4,1,1
27.0,0,2,123,1.5,45000.0,4,5,0
36.0,1,1,2,7.0,90000.0,1,9,1
41.0,0,3,75,17.0,160000.0,3,7,1
31.0,1,1,57,4.0,50000.0,2,4,0
39.0,0,1,83,10.0,120000.0,0,1,1
47.0,1,2,38,20.0,170000.0,0,2,0
30.0,0,1,74,2.0,40000.0,2,6,0
38.0,1,2,65,9.0,110000.0,2,9,1
45.0,0,3,86,15.0,150000.0,2,4,1
28.0,1,1,7,2.0,40000.0,4,1,0
35.0,0,1,73,8.0,85000.0,4,9,1
44.0,1,1,112,14.0,130000.0,2,4,1
34.0,0,2,49,6.0,100000.0,3,8,1
35.0,1,1,90,9.0,95000.0,1,9,1
50.0,0,3,43,22.0,180000.0,0,2,0
29.0,1,1,10,1.5,35000.0,3,1,0
40.0,0,1,105,12.0,100000.0,2,4,1
48.0,1,2,42,19.0,170000.0,4,5,0
31.0,0,1,109,3.0,45000.0,3,8,0
33.0,1,1,87,7.0,100000.0,4,5,1
42.0,0,2,63,13.0,140000.0,2,9,1
28.0,1,1,50,2.0,40000.0,0,2,0
40.0,0,1,76,11.0,105000.0,3,9,1
46.0,1,3,27,18.0,160000.0,1,9,1
33.0,0,1,83,5.0,70000.0,0,1,0
37.0,1,2,110,9.0,120000.0,0,2,1
51.0,0,2,41,21.0,190000.0,4,5,0
30.0,1,1,77,3.0,45000.0,1,3,0
43.0,1,1,92,15.0,120000.0,1,1,1
27.0,0,2,98,1.5,50000.0,2,9,0
35.0,1,1,80,8.0,85000.0,1,9,1
42.0,0,3,76,13.0,140000.0,1,9,1
32.0,1,1,105,3.0,45000.0,0,9,0
37.0,0,1,50,9.0,100000.0,3,8,1
45.0,1,2,111,16.0,140000.0,0,1,1
33.0,0,1,80,5.0,70000.0,1,1,0
39.0,1,1,77,10.0,120000.0,1,3,1
44.0,0,3,58,18.0,160000.0,1,9,1
29.0,1,1,6,1.5,40000.0,0,2,0
38.0,0,1,88,10.0,120000.0,2,6,1
46.0,1,3,24,19.0,150000.0,3,1,1
34.0,0,1,73,6.0,70000.0,4,1,0
36.0,1,1,83,8.0,95000.0,4,9,1
49.0,0,2,42,21.0,180000.0,1,9,0
31.0,1,1,50,3.0,50000.0,1,3,0
41.0,0,1,90,11.0,95000.0,4,0,1
47.0,1,2,43,20.0,170000.0,1,9,0
30.0,0,1,74,2.0,40000.0,4,9,0
38.0,1,2,65,9.0,110000.0,0,2,1
45.0,0,3,86,15.0,150000.0,2,6,1
28.0,1,1,7,2.0,40000.0,4,1,0
35.0,0,1,73,8.0,85000.0,1,9,1
44.0,1,1,112,14.0,130000.0,0,2,1
34.0,0,2,49,6.0,100000.0,0,2,1
35.0,1,1,90,9.0,95000.0,3,1,1
50.0,0,3,43,22.0,180000.0,0,9,0
29.0,1,1,10,1.5,350.0,4,5,0
37.0,0,1,51,10.0,120000.0,4,0,1
